STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER
34,021,22185,00882128,0600000US3402122185,3402122185,Ewing,44,39497510,902938
34,003,55770,00885338,0600000US3400355770,3400355770,Palisades Park,21,3238863,63688
34,019,39630,00885275,0600000US3401939630,3401939630,Lebanon,21,2295835,821
34,027,75890,00885427,0600000US3402775890,3402775890,Victory Gardens,21,377812,0
34,023,30840,00885250,0600000US3402330840,3402330840,Helmetta,21,2200989,148473
34,029,03130,00885148,0600000US3402903130,3402903130,Barnegat Light,21,1893473,313950
34,015,71850,00885415,0600000US3401571850,3401571850,Swedesboro,21,1875521,88090
34,023,31470,00885252,0600000US3402331470,3402331470,Highland Park,21,4691764,20629
34,003,22470,00885214,0600000US3400322470,3400322470,Fair Lawn,21,13306938,161305
34,013,11200,00882222,0600000US3401311200,3401311200,Cedar Grove,44,11010845,325963
34,005,57480,00885346,0600000US3400557480,3400557480,Pemberton,21,1515039,44848
34,003,15820,00885193,0600000US3400315820,3400315820,Cresskill,21,5344488,26603
34,025,22440,00885213,0600000US3402522440,3402522440,Fair Haven,21,4136537,1333656
34,007,39210,00885272,0600000US3400739210,3400739210,Laurel Springs,21,1186843,32873
34,029,34530,00885262,0600000US3402934530,3402934530,Island Heights,21,1582368,767134
34,025,67365,00882603,0600000US3402567365,3402567365,Shrewsbury,44,271673,0
34,041,33930,00882244,0600000US3404133930,3404133930,Independence,44,51136518,388333
34,007,28800,00885239,0600000US3400728800,3400728800,Haddon Heights,21,4062714,13573
34,037,54660,00885335,0600000US3403754660,3403754660,Ogdensburg,21,5818825,117747
34,003,53850,00885330,0600000US3400353850,3400353850,Oakland,21,21897669,708541
34,005,06670,00885165,0600000US3400506670,3400506670,Bordentown,25,2407018,100019
34,015,82180,00885448,0600000US3401582180,3401582180,Woodbury Heights,21,3165727,16037
34,005,63660,00885373,0600000US3400563660,3400563660,Riverton,21,1722175,779894
34,009,66390,00885389,0600000US3400966390,3400966390,Sea Isle City,25,5616605,940184
34,007,14260,00885191,0600000US3400714260,3400714260,Collingswood,21,4721351,258527
34,033,00880,00882131,0600000US3403300880,3403300880,Alloway,44,86510071,1119938
34,005,18790,00882105,0600000US3400518790,3400518790,Eastampton,44,14887285,224085
34,005,23250,00885219,0600000US3400523250,3400523250,Fieldsboro,21,696615,0
34,005,48900,00882104,0600000US3400548900,3400548900,Mount Holly,44,7268777,119695
34,019,38610,00885271,0600000US3401938610,3401938610,Lambertville,25,2797833,371758
34,039,22860,00885216,0600000US3403922860,3403922860,Fanwood,21,3475082,0
34,039,64620,00885379,0600000US3403964620,3403964620,Roselle,21,6866743,32524
34,007,02200,00885144,0600000US3400702200,3400702200,Audubon,21,3854612,42243
34,007,05440,00885158,0600000US3400705440,3400705440,Berlin,21,9292599,33533
34,007,26070,00885230,0600000US3400726070,3400726070,Gibbsboro,21,5652709,100978
34,007,48750,00885313,0600000US3400748750,3400748750,Mount Ephraim,21,2260412,46619
34,007,72240,00885416,0600000US3400772240,3400772240,Tavistock,21,657798,6603
34,025,00000,00000000,0600000US3402500000,3402500000,County subdivisions not defined,00,0,362508099
34,025,22950,00885218,0600000US3402522950,3402522950,Farmingdale,21,1351039,2495
34,025,31500,00885253,0600000US3402531500,3402531500,Highlands,21,1986159,1558818
34,025,34200,00885261,0600000US3402534200,3402534200,Interlaken,21,855587,137550
34,025,37560,00885400,0600000US3402537560,3402537560,Lake Como,21,657433,30380
34,025,49920,00885315,0600000US3402549920,3402549920,Neptune City,21,2470275,0
34,001,08680,00885173,0600000US3400108680,3400108680,Buena,21,19626218,3410
